"iter","window","alpha","MAE_fusion","RMSE_fusion","MAE_gam","RMSE_gam","MAE_qgbrt","RMSE_qgbrt"
1,1,1.2,6.86296218134228,9.006219242459,3.78045845486132,4.83604653961102,5.07243257959684,6.10110265650608
2,2,0.8,7.27975186108348,10.65582469402,8.2093637808142,10.2506404511624,7.22811302022867,9.19086095149924
3,3,1,6.36864540112094,10.4180394308725,6.32091356863292,7.57163736190145,7.05177251958248,8.12335457493317
4,4,0.9,4.79150847736946,6.56968386083182,NA,NA,4.78026914011943,5.84165623555763
5,5,1,3.246957964672,3.91340852151962,NA,NA,3.93713734051712,4.57792556812826
6,6,0.8,5.95908162839715,7.54954494271496,NA,NA,8.60420182365399,11.5479756346954
7,7,1,2.48312438335679,3.34369472994387,NA,NA,5.39311751075464,6.73716296935723
8,8,1,2.7671872,3.72480741360301,NA,NA,3.805067015498,5.07246064423661
9,9,0.9,4.40246841885705,5.2516133652155,NA,NA,4.63374861584246,5.50579919979048
10,10,0.9,4.14771204742633,4.94454027700194,NA,NA,9.68641945800358,14.8079944098169
11,11,0.9,5.83321970182098,7.02306471700649,8.27379030248016,9.47723199288334,8.99956969553497,10.7624142307766
