"ID","Type","Longitude","Latitude"
"1004","SDS011",10.174,53.48
"1070","SDS011",9.972,53.464
"1088","SDS011",9.99,53.556
"1134","SDS011",10.048,53.55
"1523","SDS011",10.118,53.658
"1577","SDS011",10.004,53.608
"1637","SDS011",10.048,53.52
"1682","SDS011",10.06,53.596
"1697","SDS011",9.906,53.612
"1735","SDS011",10.25,53.672
"239","SDS011",10.004,53.59
"2448","SDS011",9.946,53.556
"2470","SDS011",9.94,53.558
"2548","SDS011",10.248,53.52
"2558","SDS011",10.006,53.488
"2568","SDS011",10.032,53.684
"3022","SDS011",9.938,53.584
"317","SDS011",10.228,53.448
"3185","SDS011",10.252,53.7
"3274","SDS011",10.064,53.672
"3297","SDS011",10.174,53.572
"3503","SDS011",10.174,53.49
"353","SDS011",10.044,53.592
"3587","SDS011",9.972,53.596
"3629","SDS011",10.012,53.626
"3673","SDS011",9.936,53.556
"3825","SDS011",10.07,53.632
"3881","SDS011",10.238,53.482
"3997","SDS011",9.914,53.556
"4074","SDS011",9.806,53.522
"4288","SDS011",9.706,53.592
"4307","SDS011",9.984,53.448
"4309","SDS011",9.98,53.576
"4317","SDS011",9.934,53.576
"4377","SDS011",9.994,53.686
"543","SDS011",9.97,53.558
"591","SDS011",10.046,53.608
"836","SDS011",9.932,53.55
"938","SDS011",9.968,53.584
"980","SDS011",9.994,53.514
"STA.DE_DEHH008","STA",9.967882,53.56414
"STA.DE_DEHH015","STA",10.02123,53.52326
"STA.DE_DEHH059","STA",9.990569,53.50793
"STA.DE_DEHH068","STA",10.05386,53.5923
