outer,inner,mae_classic,mae_robust1,mae_robust2,rmse_classic,rmse_robust1,rmse_robust2,fval_classic,fval_robust1,fval_robust2,exitflag_classic,exitflag_robust1,exitflag_robust2,time_classic,time_robust1,time_robust2,hyp_classic_1,hyp_classic_2,hyp_classic_3,hyp_classic_4,hyp_classic_5,hyp_classic_6,hyp_classic_7,hyp_classic_8,hyp_classic_9,hyp_classic_10,hyp_classic_11,hyp_robust1_1,hyp_robust1_2,hyp_robust1_3,hyp_robust1_4,hyp_robust1_5,hyp_robust1_6,hyp_robust1_7,hyp_robust1_8,hyp_robust1_9,hyp_robust1_10,hyp_robust1_11,hyp_robust2_1,hyp_robust2_2,hyp_robust2_3,hyp_robust2_4,hyp_robust2_5,hyp_robust2_6,hyp_robust2_7,hyp_robust2_8,hyp_robust2_9,hyp_robust2_10,hyp_robust2_11
1,1,4.7968532661247,1.43163472987138,1.43189911269449,5.7997330653184,1.58495014766383,1.5853175069416,2308.40928124009,7.09787773826289e-05,0.000115725016785616,5,5,5,90.0868234,1.6493213,2.1614391,2.16574607782048,0.326141060382352,0.864927703152192,0.0792751441768786,1.0748015441762,2.77792556985269,-16.0273781868053,2.43366607021148,36.0299763025513,0.850729638633635,-5.35459518210951,2.16569083414139,0.326168684691496,0.864372710193737,0.0791367952572691,1.03674285703905,2.77792556985269,-16.0273781868053,2.43361081575473,36.0299763025513,0.85017464569526,-5.35474147746772,2.16566224716205,0.326328615777319,0.864386374282857,0.0791329665757755,1.03674305587776,2.77792556985269,-16.0273781868053,2.43358223856736,36.0299763025513,0.850188309790327,-5.35473659130964
1,2,4.797791926827,1.43238823743056,1.43207140641229,5.80091465895982,1.58585735167239,1.58559654337218,2308.40927671237,2.00795640492368e-09,0.00011704580589607,5,5,5,17.5878845,2.9401109,1.4158267,2.16574418180204,0.326145502545404,0.865190598203028,0.0793154242346203,1.07484001100258,2.7779172055447,-16.027378201444,2.43366888850025,36.0299763025513,0.850992814778594,-5.35384229802646,2.16575231249247,0.326145431252056,0.865195434441684,0.0793177211738723,1.03674470511242,2.7779172055447,-16.027378201444,2.4336615125393,36.0299763025513,0.850997651255984,-5.35383316190192,2.16566078854228,0.326333567731108,0.864648653570863,0.0791727775224917,1.03676088606138,2.7779172055447,-16.027378201444,2.43358549467919,36.0299763025513,0.850450870039179,-5.35398414455375
1,3,4.79779073338414,1.43238805577498,1.43207082913089,5.80091337186019,1.58585699780813,1.58559577110971,2308.40927671481,1.87050515009169e-09,0.000117066767620806,5,5,5,10.0773813,2.9677668,1.3608452,2.16574417926069,0.326145535569008,0.865190598203028,0.079315420565331,1.07484000929568,2.77791721280953,-16.0273782015585,2.43366888322324,36.0299763025513,0.850992814778594,-5.35384307659116,2.16574575727932,0.326145462766778,0.865195276096124,0.0793176129500856,1.03674471419597,2.77791721280953,-16.0273782015585,2.43366804612347,36.0299763025513,0.850997492302072,-5.35383451390848,2.16566077352222,0.326333578745055,0.864648658025785,0.0791727750357357,1.03676088288306,2.77791721280953,-16.0273782015585,2.43358547587884,36.0299763025513,0.850450874589327,-5.35398464538512
1,4,4.79779089929313,1.43238811421032,1.43207045373744,5.80091358243132,1.58585707010309,1.58559537238319,2308.40927671481,1.96895594285086e-09,0.00011710386390936,5,5,5,8.0163906,3.2717159,1.4775501,2.16574417926069,0.326145535569008,0.865190598203028,0.079315420565331,1.07484000929568,2.77791721280953,-16.0273782015585,2.43366888322324,36.0299763025513,0.850992814778594,-5.35384307659116,2.16574575254392,0.326145456243119,0.86519541893006,0.0793176747362499,1.03674470699693,2.77791721280953,-16.0273782015585,2.43366807161721,36.0299763025513,0.850997635525958,-5.35383423968067,2.16566075758365,0.326333565375152,0.864648662124917,0.0791727771750875,1.03676087739939,2.77791721280953,-16.0273782015585,2.43358546011507,36.0299763025513,0.850450878686855,-5.35398425552706
2,1,39.3130466105568,1.85674436258007,1.99772558442113,53.2441234779017,2.30710751133851,2.54104877403202,2338.96616433586,0.0174219844199248,23.0669483882891,5,5,5,25.3079583,3.8931224,2.6047533,2.17680746920227,0.03507258668808,1.55094009467163,-0.332441057420944,1.42200086139137,2.85953796193242,-16.0273772532115,2.44473488902205,36.0299763025513,1.53673910024584,-5.73598065866382,2.17719619217358,0.0334168191378592,1.55657057258286,-0.317375455480767,1.1920577538218,2.85953796193242,-16.0273772532115,2.44512357788687,36.0299763025513,1.54236960116883,-5.7327550744009,2.12308592967511,0.157769679386772,1.37414450827868,0.150522931645841,-1.18720949320726,2.85953796193242,-16.0273772532115,2.39101344056569,36.0299763025513,1.35994355007675,-5.13087624083273
2,2,39.3130466123912,1.85100292686293,2.10478474592704,53.2441234827743,2.30158432660988,2.61246556098626,2338.96616433438,0.0878650163176847,24.0639290264256,5,0,5,8.2397127,6.135516,1.9490947,2.17680746920227,0.0350725867652954,1.55094009467163,-0.33244105735145,1.4220008613968,2.85953796192432,-16.0273772532112,2.44473488902205,36.0299763025513,1.53673910024835,-5.73598065703698,2.17937786397874,0.0331910399596544,1.57903978982264,-0.307457518790947,1.19043799466662,2.85953796192432,-16.0273772532112,2.44730523060867,36.0299763025513,1.56483872295293,-5.69730986559372,2.11552554108105,0.212171196102668,1.37303235225863,0.153542993873668,-1.19389410272128,2.85953796192432,-16.0273772532112,2.3834529230596,36.0299763025513,1.35883133098172,-5.13152622391569
2,3,39.3130466111602,1.96524421440938,1.98432247307332,53.2441234811729,2.41016890339953,2.57453860742754,2338.96616433438,1.72179742716599,22.8595223361242,5,5,5,7.5979094,4.8366789,2.3273845,2.17680746920227,0.0350725867652954,1.55094009467163,-0.33244105735145,1.4220008613968,2.85953796192432,-16.0273772532112,2.44473488902205,36.0299763025513,1.53673910024835,-5.73598065703698,2.1980510741177,0.0499622668621547,1.70045792640914,-0.197577182132422,1.1738441896302,2.85953796192432,-16.0273772532112,2.46592564179078,36.0299763025513,1.68625686374204,-5.36386705280003,2.10678263764519,0.199190383114081,1.37731185130825,0.153000066862918,-1.19147374089512,2.85953796192432,-16.0273772532112,2.37471003912115,36.0299763025513,1.36311088416388,-5.13092666088858
2,4,39.3130466111602,1.96524421440938,1.98432247307332,53.2441234811729,2.41016890339953,2.57453860742754,2338.96616433438,1.72179742716599,22.8595223361242,5,5,5,8.7665979,4.5449609,2.23486,2.17680746920227,0.0350725867652954,1.55094009467163,-0.33244105735145,1.4220008613968,2.85953796192432,-16.0273772532112,2.44473488902205,36.0299763025513,1.53673910024835,-5.73598065703698,2.1980510741177,0.0499622668621547,1.70045792640914,-0.197577182132422,1.1738441896302,2.85953796192432,-16.0273772532112,2.46592564179078,36.0299763025513,1.68625686374204,-5.36386705280003,2.10678263764519,0.199190383114081,1.37731185130825,0.153000066862918,-1.19147374089512,2.85953796192432,-16.0273772532112,2.37471003912115,36.0299763025513,1.36311088416388,-5.13092666088858
3,1,18.927456364982,11.1642660199444,11.1741548455063,24.3279896679912,14.210295242962,14.0562668442275,2545.49136833,2444.70690003317,2170.71761273287,5,5,5,59.7828672,3.3237716,1.4329733,2.25364937639268,-0.0152456619839082,0.807376972342005,-0.726793566052177,1.21465802662857,2.92010369410903,-16.0273771680522,2.52157959822415,36.0299763025513,0.793176912156944,-6.88483463037795,2.00796191262114,0.15783041064438,-0.115930681859035,-0.548818205633515,0.0567157408891005,2.92010369410903,-16.0273771680522,2.27589196777633,36.0299763025513,-0.130130717972831,-7.45304753018835,2.15561517262001,-0.0567759606504355,0.803747038917114,-0.72804165137445,0.220620101763914,2.92010369410903,-16.0273771680522,2.42354538838195,36.0299763025513,0.789546978732053,-6.88559249824747
3,2,18.9274561370745,11.1693690887943,11.1741549483878,24.3279896102259,14.2061745040628,14.0562669149593,2545.49136833,2444.27164299285,2170.71765937729,5,5,5,16.4175913,4.7409657,1.5653127,2.25364937639268,-0.0152456619839082,0.807376972342005,-0.726793566052177,1.21465802662857,2.92010369410903,-16.0273771680522,2.52157959822415,36.0299763025513,0.793176912156944,-6.88483463037795,1.94933096792527,0.231131408701687,-0.462560462857429,-0.484414389862934,0.0663949607593535,2.92010369410903,-16.0273771680522,2.21726082967785,36.0299763025513,-0.476760528395864,-7.66899520339563,2.15561517353915,-0.0567759953688587,0.803747046764641,-0.728041585254198,0.220620120964703,2.92010369410903,-16.0273771680522,2.42354540048645,36.0299763025513,0.78954698657958,-6.88559350270605
