outer,rmse_classic,rmse_robust1,rmse_robust2,mae_classic,mae_robust1,mae_robust2
1,5.80061866964243,1.58563039181186,1.58552629845167,4.79755670640724,1.43219978432181,1.43202795049378
2,53.2441234807554,2.35725741118686,2.57564788746834,39.3130466113171,1.90955892956544,2.0177888191237
3,24.3279896246672,14.2072046887876,14.0562668972764,18.9274561940514,11.1680933215818,11.1741549226674
4,7.79618559417505,2.27263786648277,2.27757311845231,6.16305461097675,1.89247673353729,1.89464345856936
5,10.2209097492995,2.83085591026009,2.83382318543268,8.49063797862028,2.35134425071321,2.35397433624991
6,3.70702591922405,3.63852786626302,3.60229182878392,3.05553781654785,2.39892804046886,2.41614116181261
7,1.69756674266123,1.3613847033462,1.36079566237725,1.60615213770612,1.32047450368747,1.31976111792526
8,4.32339630737356,1.67881260520204,1.67578958450767,3.14453709046464,1.30674431587141,1.30414306593077
9,2.56061321780452,2.61233663599588,2.61206711057322,2.12144290440328,2.10999090329007,2.1097408371088
10,5.120009003351,2.37423894748673,2.37548002568589,4.67633044681862,1.90967247880244,1.91135687499492
11,8.50260915757505,4.08904205698519,4.08914936546825,8.05874615368639,3.4462380760115,3.44671601862799
