outer,mae_classic,mae_robust1,mae_robust2
1,4.7993316600208,1.43245260027675,1.43223667645767
2,39.3136775635784,4.51271418773032,8.37273547955466
3,18.9249936160363,11.1580946619004,11.17405666239
4,6.16275880705986,1.89300770000399,1.89550552225312
5,8.49366795219536,2.35196806863764,2.35653569293071
6,3.06352467678792,2.40534944456121,2.41526353751377
7,1.60835101539835,1.32324332884214,1.32281928191087
8,3.13236238548451,1.30236985715928,1.30279625938114
9,2.12376191299586,2.10832226624815,2.10805811579699
10,4.67744253847365,1.91039594220228,1.91101341119701
11,8.07715611658104,3.44729904633991,3.44591468083998
