scenario,m,a,run,model,delta_base,delta_eff,MAE,RMSE
"m=2,a=0.1",2,0.1,1,classic,NaN,NaN,0.571162204695137,0.721732823500029
"m=2,a=0.1",2,0.1,1,robust_d_small,0.05,0.1,1.506366190636,1.80136210569266
"m=2,a=0.1",2,0.1,1,robust_d_medium,0.35,0.7,1.50660677614832,1.80271474028434
"m=2,a=0.1",2,0.1,1,robust_d_big,1.5,3,1.51978309265813,1.83527631469534
"m=2,a=0.1",2,0.1,1,robust_d_auto,NaN,5.99650362675457,1.58598074116692,1.94685684042946
"m=2,a=0.1",2,0.1,2,classic,NaN,NaN,0.545282182025686,0.730776246665957
"m=2,a=0.1",2,0.1,2,robust_d_small,0.05,0.1,0.953186776502472,1.20573364539375
"m=2,a=0.1",2,0.1,2,robust_d_medium,0.35,0.7,0.976399331014947,1.23901318040643
"m=2,a=0.1",2,0.1,2,robust_d_big,1.5,3,0.565212215680709,0.775698340139823
"m=2,a=0.1",2,0.1,2,robust_d_auto,NaN,4.08775032775077,0.967504882933758,1.23010991890151
"m=2,a=0.1",2,0.1,3,classic,NaN,NaN,0.455601131769514,0.56222763978556
"m=2,a=0.1",2,0.1,3,robust_d_small,0.05,0.1,0.884288739208847,1.07576629297409
"m=2,a=0.1",2,0.1,3,robust_d_medium,0.35,0.7,0.877775595648755,1.06599609803653
"m=2,a=0.1",2,0.1,3,robust_d_big,1.5,3,0.43282898572408,0.541965784954524
"m=2,a=0.1",2,0.1,3,robust_d_auto,NaN,3.98488341477828,1.01415862900817,1.17912047794764
"m=2,a=0.1",2,0.1,4,classic,NaN,NaN,0.617330849684804,0.797200135734054
"m=2,a=0.1",2,0.1,4,robust_d_small,0.05,0.1,0.624187320429146,0.822291728653284
"m=2,a=0.1",2,0.1,4,robust_d_medium,0.35,0.7,0.645945122140919,0.848860227665423
"m=2,a=0.1",2,0.1,4,robust_d_big,1.5,3,0.632079263193871,0.827141890586105
"m=2,a=0.1",2,0.1,4,robust_d_auto,NaN,1.32716041178543,0.632049211095667,0.827118380930936
"m=2,a=0.1",2,0.1,5,classic,NaN,NaN,0.508094119660133,0.70800814259338
"m=2,a=0.1",2,0.1,5,robust_d_small,0.05,0.1,0.640594964859789,0.822746070299472
"m=2,a=0.1",2,0.1,5,robust_d_medium,0.35,0.7,0.637656337540305,0.819140743511688
"m=2,a=0.1",2,0.1,5,robust_d_big,1.5,3,0.581648912069163,0.856663867057429
"m=2,a=0.1",2,0.1,5,robust_d_auto,NaN,3.77094831253517,0.708091606114931,0.878951103521992
"m=2,a=0.1",2,0.1,6,classic,NaN,NaN,0.551855019323378,0.7365931580907
"m=2,a=0.1",2,0.1,6,robust_d_small,0.05,0.1,0.61544149823133,0.823463919902364
"m=2,a=0.1",2,0.1,6,robust_d_medium,0.35,0.7,0.733456150332705,0.941017154298243
"m=2,a=0.1",2,0.1,6,robust_d_big,1.5,3,0.725610698032486,0.924722544506661
"m=2,a=0.1",2,0.1,6,robust_d_auto,NaN,1.76886995570727,0.730704222829679,0.932908597750264
"m=2,a=0.1",2,0.1,7,classic,NaN,NaN,0.592233804308326,0.845172108118759
"m=2,a=0.1",2,0.1,7,robust_d_small,0.05,0.1,0.687012867656543,1.02860163052322
"m=2,a=0.1",2,0.1,7,robust_d_medium,0.35,0.7,0.665716501229572,0.988415406239989
"m=2,a=0.1",2,0.1,7,robust_d_big,1.5,3,0.66356498414544,0.977477669609405
"m=2,a=0.1",2,0.1,7,robust_d_auto,NaN,1.87888899804044,0.675273026288968,0.932611546031277
"m=2,a=0.1",2,0.1,9,classic,NaN,NaN,0.591565750416888,0.71987318837197
"m=2,a=0.1",2,0.1,9,robust_d_small,0.05,0.1,0.676348419528768,0.807745494161361
"m=2,a=0.1",2,0.1,9,robust_d_medium,0.35,0.7,0.621025188267273,0.727737097133809
"m=2,a=0.1",2,0.1,9,robust_d_big,1.5,3,0.67526819471486,0.80808326284611
"m=2,a=0.1",2,0.1,9,robust_d_auto,NaN,2.15282263100304,0.677528422501726,0.810007266641644
"m=2,a=0.1",2,0.1,10,classic,NaN,NaN,0.673405858538426,0.88361200385328
"m=2,a=0.1",2,0.1,10,robust_d_small,0.05,0.1,0.843030112573758,1.06334462220251
"m=2,a=0.1",2,0.1,10,robust_d_medium,0.35,0.7,0.840381613871895,1.06776894985026
"m=2,a=0.1",2,0.1,10,robust_d_big,1.5,3,0.842663648134013,1.07115670183026
"m=2,a=0.1",2,0.1,10,robust_d_auto,NaN,2.47268763183035,0.842663653335256,1.07115670146197
"m=2,a=0.1",2,0.1,11,classic,NaN,NaN,0.511592475120981,0.673479899759227
"m=2,a=0.1",2,0.1,11,robust_d_small,0.05,0.1,0.702918755391415,0.934330524313851
"m=2,a=0.1",2,0.1,11,robust_d_medium,0.35,0.7,0.564561922037483,0.808434897320301
"m=2,a=0.1",2,0.1,11,robust_d_big,1.5,3,0.695947891876969,0.951059697303067
"m=2,a=0.1",2,0.1,11,robust_d_auto,NaN,3.13739304173553,0.696110904895292,0.950938199545597
"m=2,a=0.1",2,0.1,12,classic,NaN,NaN,0.63288202597266,0.806199251641541
"m=2,a=0.1",2,0.1,12,robust_d_small,0.05,0.1,0.674376840296496,0.899894768569459
